Name,Price,Type,Size,Latitude,Longitude,GPS_Text,URL,NearestCity,NearestCityLat,NearestCityLon,DistanceMiles,SizeAcres,Size_km2
Wakeley Meadow,"£69,000",Freehold,over 4 ¼ acres,51.8781,-5.22149,"GPS coordinates: 51.8781, -5.22149",https://www.woodlands.co.uk/buying-a-wood/planting-land-wales-and-the-welsh-marches/wakeley-meadow,Llanelli,51.684,-4.163,47.191,4.25,0.0171991397952
Temple Meadow,"£79,000",Freehold,nearly 5 ¼ acres,51.876,-5.22356,"GPS coordinates: 51.876, -5.22356",https://www.woodlands.co.uk/buying-a-wood/planting-land-wales-and-the-welsh-marches/temple-meadow,Llanelli,51.684,-4.163,47.236,5.25,0.0212459962176
Iris Wood,"£75,000",Freehold,nearly 3 ½ acres,50.4392,-4.76678,"GPS coordinates: 50.4392, -4.76678",https://www.woodlands.co.uk/buying-a-wood/cornwall-and-west-devon/iris-wood,Plymouth,50.3714,-4.1422,27.901,3.5,0.0141639974784
Dene Bank Wood,"£65,000",Freehold,just over 4 ½ acres,54.7267,-1.27843,"GPS coordinates: 54.7267, -1.27843",https://www.woodlands.co.uk/buying-a-wood/northern-england/dene-bank-wood,Hartlepool,54.69,-1.21,3.727,4.5,0.0182108539008
Todhole Wood,"£85,000",Freehold,over 5 ¼ acres,54.9317,-2.71009,"GPS coordinates: 54.9317, -2.71009",https://www.woodlands.co.uk/buying-a-wood/cumbria/todhole-wood,Carlisle,54.8947,-2.9364,9.345,5.25,0.0212459962176
Dinmont Wood,"£56,000",Freehold,about 5.2 acres,54.9339,-2.71248,"GPS coordinates: 54.9339, -2.71248",https://www.woodlands.co.uk/buying-a-wood/cumbria/dinmont-wood,Carlisle,54.8947,-2.9364,9.296,5.2,0.02104365339648
Gilsland Wood,"£65,000",Freehold,nearly 4 ¼ acres,54.9335,-2.71832,"GPS coordinates: 54.9335, -2.71832",https://www.woodlands.co.uk/buying-a-wood/cumbria/gilsland-wood,Carlisle,54.8947,-2.9364,9.066,4.25,0.0171991397952
Derskelpin Wood,"£49,000",Freehold,just under 7 acres,54.9027,-4.6782,"GPS coordinates: 54.9027, -4.6782",https://www.woodlands.co.uk/buying-a-wood/southern-scotland-and-northumberland/derskelpin-wood,Bangor,54.66,-5.67,42.929,7.0,0.0283279949568
Annabaglish Wood,"£45,000",Freehold,over 6 ¼ acres,54.9031,-4.6837,"GPS coordinates: 54.9031, -4.6837",https://www.woodlands.co.uk/buying-a-wood/southern-scotland-and-northumberland/annabaglish-wood,Bangor,54.66,-5.67,42.738,6.25,0.02529285264
Fullers Wood,"£79,000",Freehold,7 ¼ acres,55.6293,-3.0757,"GPS coordinates: 55.6293, -3.0757",https://www.woodlands.co.uk/buying-a-wood/southern-scotland-and-northumberland/fullers-wood,Leith,55.98,-3.17,24.506,7.25,0.0293397090624
