Name,Price,Type,Size,Latitude,Longitude,GPS_Text,URL,NearestCity,NearestCityLat,NearestCityLon,DistanceMiles
Maiden Meadow,"£169,000",,about 10 acres,51.7665,-2.46663,"GPS coordinates: 51.7665, -2.46663",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-west/maiden-meadow,Gloucester,51.8667,-2.25,11.556
Swift Meadow,"£89,000",Freehold,about 4 ¾ acres,51.3052,-2.47492,"GPS coordinates: 51.3052, -2.47492",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-west/swift-meadow,Bath,51.38,-2.36,7.163
Hawks Meadow,"£89,000",Freehold,over 4 ¾ acres,51.303,-2.47603,"GPS coordinates: 51.303, -2.47603",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-west/hawks-meadow,Bath,51.38,-2.36,7.306
Lakins Meadow,"£75,000",Freehold,around 4 ¾ acres,51.3,-2.47793,"GPS coordinates: 51.3, -2.47793",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-west/lakins-meadow,Bath,51.38,-2.36,7.514
Paigle Meadow,"£85,000",Freehold,almost 5 ½ acres,51.3006,-2.47936,"GPS coordinates: 51.3006, -2.47936",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-west/paigle-meadow,Bath,51.38,-2.36,7.526
Norton Meadow,"£55,000",Freehold,just over 3 ¼ acres,51.8531,-2.74651,"GPS coordinates: 51.8531, -2.74651",https://www.woodlands.co.uk/buying-a-wood/planting-land-wales-and-the-welsh-marches/norton-meadow,Pont-y-pŵl,51.703,-3.041,16.311
Newton Meadow,"£75,000",Freehold,almost 4 ¾ acres,51.8537,-2.74989,"GPS coordinates: 51.8537, -2.74989",https://www.woodlands.co.uk/buying-a-wood/planting-land-wales-and-the-welsh-marches/newton-meadow,Pont-y-pŵl,51.703,-3.041,16.226
Pleck Meadow,"£75,000",Freehold,around 5 acres,51.8537,-2.74989,"GPS coordinates: 51.8537, -2.74989",https://www.woodlands.co.uk/buying-a-wood/planting-land-wales-and-the-welsh-marches/pleck-meadow,Pont-y-pŵl,51.703,-3.041,16.226
Elslow Coppice,"£245,000",Freehold,almost 21 acres,52.6035,-2.35852,"GPS coordinates: 52.6035, -2.35852",https://www.woodlands.co.uk/buying-a-wood/the-welsh-marches/elslow-coppice,Wellington,52.7001,-2.5157,9.378
Coed Ochram,"£59,000",Freehold,almost 4½ acres,51.7875,-3.024,"GPS coordinates: 51.7875, -3.024",https://www.woodlands.co.uk/buying-a-wood/west-and-south-wales/coed-ochram,Pont-y-pŵl,51.703,-3.041,5.884
Coed Gobannium,"£65,000",Freehold,just under 5 acres,51.788,-3.024,"GPS coordinates: 51.788, -3.024",https://www.woodlands.co.uk/buying-a-wood/west-and-south-wales/coed-gobannium,Pont-y-pŵl,51.703,-3.041,5.918
Coed Wysg,"£45,000",Freehold,just over 3 acres,51.79,-3.026,"GPS coordinates: 51.79, -3.026",https://www.woodlands.co.uk/buying-a-wood/west-and-south-wales/coed-wysg,Pont-y-pŵl,51.703,-3.041,6.045
Coed Odyn,"£49,000",Freehold,4 acres,51.789,-3.028,"GPS coordinates: 51.789, -3.028",https://www.woodlands.co.uk/buying-a-wood/west-and-south-wales/coed-odyn,Pont-y-pŵl,51.703,-3.041,5.968
"Bluebell Field Wood, Sallow Coppice","£65,000",Freehold,over 4½ acres,52.4357,-2.84847,"GPS coordinates: 52.4357, -2.84847",https://www.woodlands.co.uk/buying-a-wood/the-welsh-marches/bluebell-field-wood-sallow-coppice,Wellington,52.7001,-2.5157,23.001
"Old Newton Wood, Sallow Coppice","£79,000",Freehold,5¼ acres,52.4302,-2.85634,"GPS coordinates: 52.4302, -2.85634",https://www.woodlands.co.uk/buying-a-wood/the-welsh-marches/old-newton-wood-sallow-coppice,Wellington,52.7001,-2.5157,23.504
Boundary Meadow,"£75,000",Freehold,over 3 ⅓ acres,52.02,-3.06384,"GPS coordinates: 52.02, -3.06384",https://www.woodlands.co.uk/buying-a-wood/planting-land-wales-and-the-welsh-marches/boundary-meadow,Pont-y-pŵl,51.703,-3.041,21.924
Mount Meadow,"£99,000",Freehold,about 5 ⅓ acres,52.0202,-3.06675,"GPS coordinates: 52.0202, -3.06675",https://www.woodlands.co.uk/buying-a-wood/planting-land-wales-and-the-welsh-marches/mount-meadow,Pont-y-pŵl,51.703,-3.041,21.944
Chase Wood,"£105,000",Freehold,about 5 ½ acres,50.7989,-2.63103,"GPS coordinates: 50.7989, -2.63103",https://www.woodlands.co.uk/buying-a-wood/central-england/chase-wood,Yeovil,50.9452,-2.637,10.112
